"am_data","am_precipitacao","am_temp_maxima","am_umidade","am_ocorreu_queimada","am_risco_fogo_inpe"
2000-06-29,0,34.7,66,false,NULL
2000-06-30,0,34.7,64,false,NULL
2000-07-01,0,31.8,81,false,NULL
2000-07-02,0,32.4,74.25,false,NULL
2000-07-03,0.2,34,63.5,false,NULL
2000-07-04,0,34.1,66,false,NULL
2000-07-05,0,34.3,61,false,NULL
2000-07-06,0,34.1,63.25,false,NULL
2000-07-07,0,34.7,62.5,false,NULL
2000-07-08,0,34.3,63.75,false,NULL
2000-07-09,0,34.5,63.75,false,NULL
2000-07-10,0,34.5,66,false,NULL
2000-07-11,0,35.5,63.5,false,NULL
2000-07-12,0,32.5,71.75,false,NULL
2000-07-13,0,34.7,67.75,false,NULL
2000-07-14,0,35.4,68.75,true,NULL
2000-07-15,0,35.6,65.25,true,NULL
2000-07-16,0,33.6,85.75,false,NULL
2000-07-17,0,32.1,78.75,false,NULL
2000-07-18,3.2,29.3,87.25,false,NULL
2000-07-19,5,33.8,76,false,NULL
2000-07-20,1.4,32.9,81,false,NULL
2000-07-21,0,33.3,75,false,NULL
2000-07-22,9.6,34.8,72,false,NULL
2000-07-23,0,34.5,72.5,false,NULL
2000-07-24,0,33.5,66.5,false,NULL
2000-07-25,0,34.6,62.5,false,NULL
2000-07-26,0,33.6,63.25,false,NULL
2000-07-27,0,34.7,63.25,false,NULL
2000-07-28,0,34.6,61.25,false,NULL
2000-07-29,0,35.3,54.5,false,NULL
2000-07-30,0,35.4,58.5,false,NULL
2000-07-31,0,35.1,60,false,NULL
2000-08-01,0,35.1,59.5,false,NULL
2000-08-02,0,35.4,61.5,false,NULL
2000-08-03,0,35.7,58.75,false,NULL
2000-08-04,0,33.7,66.25,false,NULL
2000-08-05,0,35.5,53.25,false,NULL
2000-08-06,0,35.1,56.25,false,NULL
2000-08-07,0,34.8,62,false,NULL
2000-08-08,0,33.5,67,false,NULL
2000-08-09,0,30.6,74.75,false,NULL
2000-08-10,0.3,35,65.75,false,NULL
2000-08-11,0,34.3,67.5,false,NULL
2000-08-12,0,34.9,68.25,false,NULL
2000-08-13,0,34.7,62.25,false,NULL
2000-08-14,0,36.1,55.25,false,NULL
2000-08-15,0,36.3,50.5,false,NULL
2000-08-16,0,35.7,53.75,false,NULL
2000-08-17,0,36.5,48.25,false,NULL
2000-08-18,0,36.3,54.5,false,NULL
2000-08-19,0,36.7,53.5,false,NULL
2000-08-20,0,35.8,58,false,NULL
2000-08-21,0,36.9,48.5,false,NULL
2000-08-22,0,36.7,53,false,NULL
2000-08-23,0,35.3,57.25,false,NULL
2000-08-24,0,35.6,59,false,NULL
2000-08-25,0,36.1,58.75,false,NULL
2000-08-26,0,36.4,57.75,false,NULL
2000-08-27,0,36.2,61.5,false,NULL
2000-08-28,0,38,55.25,false,NULL
2000-08-29,0,36.4,62.5,false,NULL
2000-08-30,0,36.1,56.25,false,NULL
2000-08-31,0,36,52,false,NULL
2000-09-01,0,36.6,55.75,false,NULL
2000-09-02,0,36.9,60.25,false,NULL
2000-09-03,0,37,59,false,NULL
2000-09-04,0,34.3,85.5,false,NULL
2000-09-05,0,31.3,81.25,false,NULL
2000-09-06,42.4,35.6,72.75,false,NULL
2000-09-07,9.5,35.2,67.5,false,NULL
2000-09-08,0,35.6,65.25,false,NULL
2000-09-09,0,34.5,65.5,false,NULL
2000-09-10,0,35.2,61.5,false,NULL
2000-09-11,0,35.1,69.75,false,NULL
2000-09-12,0,35.2,64,false,NULL
2000-09-13,0,35.5,62.5,true,NULL
2000-09-14,0,30.2,88.75,false,NULL
2000-09-15,0,33.7,73,false,NULL
2000-09-16,10.8,33.6,79.5,false,NULL
2000-09-17,9.2,33.4,76.75,false,NULL
2000-09-18,0.2,34.7,62.75,false,NULL
2000-09-19,0,35.2,62.25,false,NULL
2000-09-20,0,34.4,65.25,false,NULL
2000-09-21,0,34.9,61.25,true,NULL
2000-09-22,0,34.3,65,true,NULL
2000-09-23,0,34.8,64.25,true,NULL
2000-09-24,0,35.2,68,false,NULL
2000-09-25,0,35,71.75,false,NULL
2000-09-26,0,29,90,false,NULL
2000-09-27,0,30.3,84,false,NULL
2000-09-28,32.2,27.8,91.25,false,NULL
2000-09-29,0,34.1,76.25,false,NULL
2000-09-30,8.7,33.8,77.5,false,NULL
2000-10-01,0,34.3,70.5,false,NULL
2000-10-02,1,33.7,67.25,false,NULL
2000-10-03,0,31.8,82.25,false,NULL
2000-10-04,0,32.7,76,false,NULL
2000-10-05,0,34.3,68.5,false,NULL
2000-10-06,0,33.4,73,true,NULL
2000-10-07,0,33.3,69.25,false,NULL
2000-10-08,7.8,32.3,76.5,false,NULL
2000-10-09,0,35.2,67.5,true,NULL
2000-10-10,0,35.6,63.5,true,NULL
2000-10-11,0,35.6,62,false,NULL
2000-10-12,0,36.4,54.25,false,NULL
2000-10-13,0,35.7,60,true,NULL
2000-10-14,0,37.1,60.75,true,NULL
2000-10-15,0,35.4,67.75,true,NULL
2000-10-16,0,35.4,69,false,NULL
2000-10-17,0,36.2,61.75,false,NULL
2000-10-18,0,35.7,63.75,true,NULL
2000-10-19,0,34.8,70.25,true,NULL
2000-10-20,0,34.9,63.5,true,NULL
2000-10-21,0,36.6,59.5,false,NULL
2000-10-22,0,36.1,64.75,false,NULL
2000-10-23,0,35.9,66.25,false,NULL
2000-10-24,0,36.3,63.25,false,NULL
2000-10-25,0,35.3,73,false,NULL
2000-10-26,0,34,79,false,NULL
2000-10-27,2,33.2,75.5,false,NULL
2000-10-28,5,33.6,68.5,false,NULL
2000-10-29,0,35.8,65.25,false,NULL
2000-10-30,0,36.5,73.25,false,NULL
2000-10-31,0,32.5,82.75,false,NULL
2000-11-01,9,33.7,77.5,false,NULL
2000-11-02,7,34.1,66.75,false,NULL
2000-11-03,0,35.5,77,false,NULL
2000-11-04,4,32.9,76.25,false,NULL
2000-11-05,12,35.2,61,false,NULL
2000-11-06,0,36.2,65,false,NULL
2000-11-07,0,35.2,71.25,false,NULL
2000-11-08,0,32.3,78.25,false,NULL
2000-11-09,0.5,31.5,77.25,false,NULL
