"am_data","am_precipitacao","am_temp_maxima","am_umidade","am_ocorreu_queimada","am_risco_fogo_inpe"
2013-03-23,0.1,30.1,88,true,NULL
2013-03-24,0,27.9,90,false,NULL
2013-03-25,24.6,33.4,85.25,false,NULL
2013-03-26,5.3,34.7,85,false,NULL
2013-03-27,0,34,81,false,NULL
2013-03-28,0.1,33.8,87.75,false,NULL
2013-03-29,8.4,31.3,76.5,false,NULL
2013-03-30,36.6,32.7,88.5,false,NULL
2013-03-31,33.4,33.5,79.5,false,NULL
2013-04-01,1.6,33.5,80.25,false,NULL
2013-04-02,0,34.3,81.5,true,NULL
2013-04-03,0.1,34,80.75,false,NULL
2013-04-04,2.4,32.9,84,false,NULL
2013-04-05,0.9,33,87,true,NULL
2013-04-06,0.2,33,84.75,false,NULL
2013-04-07,12.4,33.1,88.75,false,NULL
2013-04-08,0,34.8,80.5,false,NULL
2013-04-09,2.1,33.4,86,false,NULL
2013-04-10,0,33.3,86,false,NULL
2013-04-11,22.2,34.6,78.5,false,NULL
2013-04-12,3.2,33.2,83.25,false,NULL
2013-04-13,0,34.3,81.5,false,NULL
2013-04-14,2.2,33.3,83.75,false,NULL
2013-04-15,0,34,82.5,false,NULL
2013-04-16,6.9,32.1,85.25,false,NULL
2013-04-17,6.1,32.7,88.5,false,NULL
2013-04-18,23.2,32,87.5,false,NULL
2013-04-19,10.8,31.5,89.75,false,NULL
2013-04-20,24.4,32.6,89.25,false,NULL
2013-04-21,5.3,31,92.5,false,NULL
2013-04-22,6.9,31.4,87.25,false,NULL
2013-04-23,10.1,33.7,80.5,false,NULL
2013-04-24,0,33.8,76.25,false,NULL
2013-04-25,0,32.2,87.5,false,NULL
2013-04-26,0,32.4,85.5,false,NULL
2013-04-27,1,33.1,80.5,false,NULL
2013-04-28,0,32.6,79.75,false,NULL
2013-04-29,4.3,34.1,82.75,false,NULL
2013-04-30,0,32.7,87.75,false,NULL
2013-05-01,3.2,32.8,83.25,false,NULL
2013-05-02,11.3,33.2,82.5,false,NULL
2013-05-03,0,33.1,80.75,false,NULL
2013-05-04,0,33.2,82.25,false,NULL
2013-05-05,0,33.8,78.5,false,NULL
2013-05-06,0,33.4,81.5,false,NULL
2013-05-07,0,31.8,83,false,NULL
2013-05-08,7.6,33,81.25,false,NULL
2013-05-09,0,30,93.5,false,NULL
2013-05-10,12.4,33.2,82.25,false,NULL
2013-05-11,9.8,34.4,78,false,NULL
2013-05-12,0,34.8,75.25,false,NULL
2013-05-13,0,34.4,72.75,false,NULL
2013-05-14,0,33.8,73.75,false,NULL
2013-05-15,0,34,74.75,false,NULL
2013-05-16,0,35.4,71.25,false,NULL
2013-05-17,0,34.9,75.75,false,NULL
2013-05-18,0,31.3,85.5,true,NULL
2013-05-19,0,32.4,80.75,false,NULL
2013-05-20,14,32.6,78.25,false,NULL
2013-05-21,6.4,34.2,74.75,false,NULL
2013-05-22,0,33.1,80,false,NULL
2013-05-23,0,32.1,81.5,false,NULL
2013-05-24,0,32.2,82.75,false,NULL
2013-05-25,0,33.4,89.75,false,NULL
2013-05-26,0,33.4,81,false,NULL
2013-05-27,19.2,34.2,78.25,false,NULL
2013-05-28,0,34.5,82.25,false,NULL
2013-05-29,0,34.8,77.75,true,NULL
2013-05-30,0,34.7,79.5,false,NULL
2013-05-31,0,33.2,88.75,false,NULL
