"data","precipitacao","temperatura","umidade","dias_de_secura","indice_risco","classe_risco"
1965-03-19,3.0,25.2,94.5,0.7227660800966521,0.0,0
1965-03-20,0.2,31.6,90.5,1.1392046576081574,0.0,0
1965-03-21,39.4,29.0,95.5,2.8741884328039786,0.0,0
1965-03-22,25.8,31.2,88.75,0.026589745372314195,0.0,0
1965-03-23,18.2,31.0,90.0,0.012714405336733032,0.0,0
1965-03-24,61.8,30.0,89.0,0.022581604827068887,0.0,0
1965-03-25,5.6,29.5,96.25,4.826423972707909E-5,0.0,0
1965-03-26,48.0,28.0,92.25,0.006531558804634032,0.0,0
1965-03-27,50.8,29.9,89.25,2.1056637163881134E-4,0.0,0
1965-03-28,52.2,31.0,85.75,1.7195726748922615E-5,0.0,0
1965-03-29,4.8,28.8,88.25,4.55151847529782E-6,0.0,0
1965-03-30,0.0,32.1,91.0,0.0014937737395238398,0.0,0
1965-03-31,0.0,31.8,86.75,0.031986234204619844,0.0,0
1965-04-01,0.0,32.8,89.25,0.21778441013794478,0.0,0
1965-04-02,5.0,31.7,85.0,0.6955518985995762,0.0,0
1965-04-03,0.6,31.4,84.0,0.6486839571472053,0.0,0
1965-04-04,0.0,29.5,94.0,1.0169321003203997,0.0,0
1965-04-05,20.9,31.5,90.0,1.2470619568132526,0.0,0
1965-04-06,13.4,28.8,93.25,0.10363194473297581,0.0,0
1965-04-07,20.7,31.3,94.75,0.09059559840474403,0.0,0
1965-04-08,1.1,30.3,89.0,0.03167936837658462,0.0,0
1965-04-09,20.2,31.8,85.75,0.28534119199692637,0.0,0
1965-04-10,1.1,30.9,95.25,0.052255002565364826,0.0,0
1965-04-11,0.0,31.8,88.0,0.4081544387542789,0.0,0
1965-04-12,7.0,26.9,94.5,1.426694671312404,0.0,0
1965-04-13,19.6,31.8,85.0,1.1172165291729579,0.0,0
1965-04-14,0.0,31.2,84.75,0.1516076038298854,0.0,0
1965-04-15,0.0,28.0,90.5,0.9450479142700473,0.0,0
1965-04-16,7.7,31.4,83.5,2.0994603807416863,0.0,0
1965-04-17,0.0,31.3,88.75,0.9804637059966878,0.0,0
1965-04-18,0.0,27.9,94.75,2.3472638957634855,0.0,0
1965-04-19,20.0,31.3,87.25,3.635877010170716,0.0,0
1965-04-20,6.9,32.6,83.25,0.2524657583790916,0.0,0
1965-04-21,0.0,31.8,94.5,0.4961784444892399,0.0,0
1965-04-22,8.8,27.9,95.0,1.7583578788946463,0.0,0
1965-04-23,23.3,29.2,94.0,0.8814212214868559,0.0,0
1965-04-24,15.7,31.8,87.0,0.09693839068551068,0.0,0
1965-04-25,0.2,31.7,89.25,0.10395786045934455,0.0,0
1965-04-26,7.4,31.1,91.25,0.8136136559067629,0.0,0
1965-04-27,48.0,32.0,81.0,0.7284621215377379,0.0,0
1965-04-28,11.7,30.8,89.0,0.002733152292998471,0.0,0
1965-04-29,0.2,31.8,87.0,0.032497905111148154,0.0,0
1965-04-30,0.5,32.5,86.75,0.4077994988138246,0.0,0
1965-05-01,0.0,32.2,84.25,0.9756614284394587,0.0,0
1965-05-02,0.0,33.3,84.5,2.051067419667062,0.0,0
1965-05-03,0.2,32.8,81.75,3.9662471690593515,0.0,0
1965-05-04,0.0,32.6,81.25,4.579639806468376,0.011066966260355682,0
1965-05-05,0.0,32.2,79.25,5.227955846566371,0.014490792315992472,0
1965-05-06,0.0,33.2,76.75,5.989214990244273,0.01968198490072078,0
1965-05-07,0.0,33.0,75.25,6.324938746112019,0.022075409547902602,0
1965-05-08,0.0,33.0,74.5,7.645676694833271,0.03226472317119721,0
1965-05-09,0.0,33.3,77.75,8.657970572700512,0.040484660801382924,0
1965-05-10,0.0,34.2,79.25,9.959534665338357,0.05356473018283906,0
1965-05-11,0.0,33.6,76.5,10.134245682591997,0.05589610690909653,0
1965-05-12,0.0,33.7,86.25,10.723207845060266,0.058163290023386605,0
1965-05-13,0.0,32.3,80.0,13.614431232073459,0.09409406057702747,0
1965-05-14,0.0,33.8,90.75,14.929369050726404,0.10629244563834646,0
1965-05-15,3.3,33.8,82.5,15.192324757500506,0.11706306820140445,0
1965-05-16,4.1,33.8,78.25,9.998052761246326,0.05396123412725535,0
1965-05-17,0.0,33.6,73.5,7.261528545679225,0.02968566127717479,0
1965-05-18,0.0,33.4,74.5,10.682323330232384,0.06258275086592761,0
1965-05-19,0.0,32.5,89.75,12.533315641665782,0.0748376163261155,0
1965-05-20,1.6,33.6,79.0,14.297723805525978,0.10665233927157663,0
1965-05-21,0.0,33.0,76.25,12.980397698775395,0.08941364057756528,0
1965-05-22,0.0,34.0,77.75,15.521720260777172,0.12668905821798657,0
1965-05-23,0.0,34.4,76.0,16.884572752768563,0.15134828836480824,1
1965-05-24,0.0,34.6,75.0,19.225938871297398,0.19446064456168266,1
1965-05-25,0.0,34.2,75.25,20.74365361794451,0.22114952364711052,1
1965-05-26,0.0,32.8,76.5,23.323941148901792,0.26283905074868574,1
1965-05-27,0.0,33.2,80.0,25.110355986692824,0.29324180664818855,1
1965-05-28,0.0,33.4,77.5,29.129760528677746,0.3830310534448121,1
1965-05-29,0.0,33.2,80.0,30.47602625651036,0.4023958541419043,2
1965-05-30,0.0,33.0,76.75,30.72327006852678,0.41559504566991795,2
1965-05-31,0.0,33.5,77.25,31.52120046735031,0.43480558437023636,2
1965-06-01,0.0,34.0,72.5,32.0443329967185,0.46528041241568996,2
1965-06-02,0.0,32.8,75.75,32.30462310452516,0.45012252272439773,2
1965-06-03,0.0,31.0,76.0,32.3369438853267,0.43465653437865054,2
1965-06-04,0.0,33.3,75.25,32.3369438853267,0.4566806872061422,2
1965-06-05,0.0,34.4,78.25,33.86460437413203,0.4882897853056168,2
1965-06-06,0.0,33.8,81.0,34.683717834412015,0.48978346487181573,2
1965-06-07,0.0,33.6,78.0,35.63150969431536,0.5179380245645425,2
1965-06-08,1.8,32.8,77.25,35.90657226393554,0.5184303413434115,2
1965-06-09,0.0,33.1,73.25,28.908635310488084,0.38775824965409444,1
1965-06-10,0.0,33.2,78.5,32.919340762158555,0.4573313337553834,2
1965-06-11,0.0,33.8,70.75,34.76114882865328,0.5284536005733478,2
1965-06-12,0.0,34.2,75.0,35.980616041706014,0.5422947983618203,2
1965-06-13,0.0,33.0,74.5,37.42430464441472,0.5610223155778412,2
1965-06-14,0.0,33.4,81.0,38.29963438883143,0.5558361746963166,2
1965-06-15,0.0,30.2,82.5,39.037407385527644,0.5293716232694714,2
1965-06-16,12.6,32.4,80.75,39.755983185273486,0.5725267704349686,2
1965-06-17,0.0,32.8,77.75,6.812508108025419,0.02501699545431784,0
1965-06-18,0.0,33.7,71.0,16.471973322498084,0.14771877432880878,0
1965-06-19,0.0,33.5,75.75,24.707339621403424,0.2957826802557988,1
1965-06-20,0.0,32.4,74.75,28.646187139195767,0.3731403308376749,1
1965-06-21,0.0,33.1,76.0,32.74532979251913,0.461098302456268,2
1965-06-22,0.0,33.2,81.75,37.70755039600384,0.5397219945877192,2
1965-06-23,0.0,33.0,78.25,39.31870461916322,0.5817744241334061,2
1965-06-24,0.0,33.1,78.0,40.325351883382844,0.6021626388383874,2
1965-06-25,0.0,34.3,75.0,41.2578067804384,0.6462140648811844,2
1965-06-26,0.0,28.7,86.0,42.20253752496531,0.5484535777580739,2
1965-06-27,0.0,30.2,85.5,46.12431955964789,0.621246061518218,2
1965-06-28,5.4,32.8,75.5,48.432949173735935,0.7332860091593951,3
